intial,intial2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,"Grand Total"
Applicant," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"From State"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"From Utility"," ","KAVIT INDUSTRIES_BEVOOR",PSOMACHANDRA_CHIKKASUGUR,"EKIALDE SUN_CHINCHOLI",SATYADEEPTHA_CHITAGUPPA,"VOORA ENERGY_DHADESUGUR",AVAADA_KEMBHAVI,"MARVEL SOLREN_JANAWADA","CLEAN SOLAR_KANAKAGIRI",TALETTUTAYI(KEREHALLI),"SHAHI EXPORTS_KOLHAR",HINDUJA_MALLAT,"ADANI GREEN_MANDEVAL","BIDAR SOLAR_BEMAKHED","CLEAN SOLAR_MARAGUTTI","REJIYA SALEEM_MORAGERE","WARDHA SOLAR _SHAHPUR220","CLEAN SOLAR_ PD HALLI","RENEW WIND_SAIDAPUR","CLEAN SOLAR_SANTHPUR","RENEW WIND_SANTAPUR","WARDHA SOLAR_NALWAR",ABHIMAANI_TEKALKOTE,"CLEAN SOLAR_TURVIHAL","MATRIX GREEN_VALKAMDINI","MATRIX GREEN_WADEGERA","CLEAN SOLAR_NALWARA","RENEW WIND_WADEGERA","CLEAN SOLAR_WADGERA",EASTMAN_YELBURGA,"MADHAV SOLAR_BEVOOR","MYTRAH AKSHAY_HIDKAL",TUNGABHADRA_MANTUR,"KN SINDHAGI_DEVARHIPPARG",FPEL_TALIKOTI,SUZLON_BENEHALLI,SUZLON_HIREHADAGALI,SUZLON(NICHAPUR)_KOTTUR,"SUZLON GUJARAT_KUSHTAGI",LATUR_LINGASUGUR,JODHPUR_MADIYAL,"SUZLON _SINDHANOOR 220","PUGALUR_SINDHANOOR 220",BIJAPUR_RE_UJJINI,GAMESA_VADAVATTI,"GAMESA MANVIWIND_KAVITAL",PRATHIJNA_NAVALI,"GLOBAL TECK_CHIKKABANAGE","SHRI KESHAV_BETAGERA","RENEW WIND_CHINCHOLI","RENEW SAUR_ITTAGI",EMBASSY_ITTAGI,AMPSOLAR_MALLAT,"RENEW SAUR_MASKI","RENEW WINDK4_NIRNA","SHORAPUR SOLAR_KEMBHAVI","RENEW AGNI_TEKALKOTE",BEML_HANUMASAGAR,GAMESHA_HATTI,"SUZLON and KREDL_ITAGI",SUZLON_KURGOD,SOLARSYS_BANAVIKAL,"ACME SANDUR_CHORNUR",ORANGEMAMATKED_GURMITKAL,OSTROCHIKMYAGERI_KUSTAGI,"SHARADA CONSTRU_SANTAPUR",ECOREN_NAVALI,RENEW_NIRNA,TARUN_KADAGANCHI,"CLEAN MANVISOLAR_KAVITAL",GREENINFRA_VENKATAGIRI,RADIANCE_BENNUR_SOLAR,RADIANCE_GOOGAL,CYCLIC_KUDLIGI_W,GESCOM_KPTCL,RENEW_KUDLIGI_S,RENEW_KUDLIGI_W,AMPYR_SULEKAL,"ES SOLAR_MANNALLI",PARAMPUJYA_SHORAPUR,"RELIANCE JIO_DUBALGUNDI",CYCLIC_KUDLIGI_S,ALPUR_KARAJAGI,"ECOREN VENTI_HANUR","ISHARAYS ENERGY_BETAGERA",""
"To State"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"To Utility","  ",GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,GESCOM,""
"IR Link","  ",GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-BES,GES-GES,GES-GES,GES-BES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-GES,GES-CES,HES-GES,HES-GES,HES-GES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,HES-HES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,BES-BES,GES-GES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-CES,GES-HES,CES-CES,GES-GES,GES-GES,GES-GES,GES-GES,GES-HES,GES-GES,GES-GES,GES-GES,GES-BES,GES-BES,GES-BES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,GES-GES,HES-BES,GES-GES,GES-GES,GES-GES,GES-GES,CES-CES,GES-GES,""
Type,"  ",SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,WIND,WIND,WIND,SOLAR,SOLAR,WIND,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,WIND,SOLAR,SOLAR,WIND,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,SOLAR,""
"Appr. No"," ","KAVIT INDUSTRIES_BEVOOR_01",PSOMA_CIKKASUGUR_01,"	EKIALDE SUN_CHINCHOLI_01",SATYADEEPTHA_CHITAGUPPA_01,VOORA_DHADESUGUR_01,AVAADA_KEMBHAVI_01,"MARVEL SOLREN_JANAWADA_01","CLEAN SOLAR_KANAKAGIRI_01","	TALETTUTAYI(KEREHALLI)_01","SHAHI EXPORTS_KOLHAR_01",HINDUJA_MALLAT_01,ADANI_MANDEVAL_01,"BIDAR SOLAR_BEMAKHED_01","CLEAN SOLAR_MARAGUTTI_01",REJIYA_MORAGERE_01,"WARDHA SOLAR_SHAHPUR220_01","CLEAN SOLAR_ P D HALLI_01","RENEW WIND_SAIDAPUR_01","CLEAN SOLAR_SANTAPUR_01","RENEW WIND_SANTAPUR_01","WARDHA SOLAR_NALWAR_01",ABHIMAANI_TEKALKOTE_01,"CLEAN SOLAR_TURVIHAL_01","MATRIX GREEN _VALKAMDINI","MATRIX GREEN _WADEGERA_01","CLEAN  SOLAR_NALWAR_01","RENEW WIND_WADEGERA_01","CLEAN SOLAR_WADEGERA_01",EASTMAN_YEL_01,"MADHAV SOLAR_BEVOOR_01","MYTRAH AKSHAYA_HIDIKAL_01",TUNGABHADRA_MANTUR_01,"KN SINDHAGI_DEVARHIPPARGI_01",FPEL_TALIKOTI_01,SUZLON_BENEHALLI_01,SUZ_HIREHADAGALI_01,SUZ_KOTTUR_01,"SUZLON GUJARAT_KUSHTAGI_01",LATUR_LINGASUGUR_01,JODHPUR_MADIYAL_01,SUZ_SINDHANOOR_01,PUGALUR_01,BIJAPUR_RE_UJJINI_01,GAMESA_VADAVATTI_01,GAMESA_KAVITAL_01,PRATHIJNA_NAVALI_01,"GLOBAL TECH_CHIKKABANAGERE_01","SHRI KESHAV_BETAGERA_03","RENEW WIND_CHINCHOLI_01","RENEW SAUR_ITTAGI_01",EMBASSY_ITTAGI_01,AMP_MALLAT_01,"RENEW SAUR_MASKI_01","	RENEW WINDK4_NIRNA_01","SHORAPUR SOLAR_KEMBHAVI_01"," RENEW AGNI_TEKALKOTE_01",SHIVA_HANUMASAGAR_01,"GAMESA HATTI WIND 01",SUZLON_KREDL_ITAGI_01,SUZ_KURGOD_01,SOLARSYS_BANAVEKAL_01,"	ACME SANDUR_CHORNUR_01",GAMESA_GURUMITKAL_01,OSTRO_KUSHTAGI_01,SHARADA_SANTAPUR_011,"	ECOREN_NAVALI_01","	RENEW_NIRNA_01","	TARUN_KADAGANCHI_01","CLEAN WIND_KAVITHAL_01",GREENINFRA_VENKATAGIRI_01,"RADIANCE_BENNUR_SOLAR 01",RADIANCE_GOOGAL_01,"CYCLIC ENERGY_KUDLIGI_01",GESCOM_01,RENEW_KUDLIGI_S_01,RENEW_KUDLIGI_W_01,"AMPYR ENERGY_SULEKAL_01","	ES SOLAR_MANNALLI_01",PARAMPUJYA_SHORAPUR_01,"RELIANCE JIO_DUBALGUNDI_01",CYCLIC_KUDLIGI_S_01,ALPUR_KARAJAGI_01,"ECOREN VENTI_HANUR_01","ISHARAYS ENERGY_BETAGERA_01",""
"Time Block","Time Desc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL"
1,00:00-00:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,4.29,2.45,36.88,7.20,6.00,2.64,10.86,2.56,19.21,5.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.20,0.00,0.00,16.46,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.96
2,00:15-00:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,4.29,2.45,36.88,7.20,6.37,2.64,11.63,2.56,18.57,5.00,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,5.96,5.73,4.19,0.00,0.00,16.75,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.65
3,00:30-00:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,4.29,2.45,36.88,7.20,6.74,2.64,13.89,2.56,26.89,5.00,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.95,5.73,4.18,0.00,0.00,16.88,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.70
4,00:45-01:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,4.53,2.50,37.88,7.20,6.12,2.64,24.57,2.56,25.60,5.00,2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,5.94,5.73,4.20,0.00,0.00,16.48,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.45
5,01:00-01:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,5.36,2.62,34.88,7.20,6.14,2.64,26.78,2.56,24.37,5.00,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.19,0.00,0.00,16.09,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.12
6,01:15-01:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,6.19,2.73,35.88,7.20,6.04,2.64,23.57,2.56,22.69,5.00,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,5.96,5.73,4.18,0.00,0.00,14.89,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.97
7,01:30-01:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,9.12,2.45,60.01,21.42,7.20,2.88,20.18,2.56,23.18,20.99,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.75,4.20,0.00,0.00,12.10,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.70
8,01:45-02:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,9.32,2.45,56.37,20.39,7.20,2.88,24.95,2.56,20.16,20.90,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,5.99,5.73,4.17,0.00,0.00,10.23,9.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.96
9,02:00-02:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,9.51,2.45,52.72,19.37,7.20,2.88,31.89,2.56,17.54,19.61,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.16,0.00,0.00,8.78,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.03
10,02:15-02:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,9.70,2.45,49.07,18.35,7.20,2.88,27.96,2.56,14.47,18.65,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,6.00,5.73,4.18,0.00,0.00,9.89,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.72
11,02:30-02:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,9.89,2.45,45.43,17.33,7.20,2.88,26.30,2.56,14.47,17.75,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.20,0.00,0.00,9.88,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.71
12,02:45-03:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,10.09,2.45,41.78,16.31,7.20,2.88,25.41,2.56,12.69,16.87,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,5.96,5.73,4.18,0.00,0.00,9.87,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.63
13,03:00-03:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,6.13,2.45,44.37,22.97,18.04,2.64,29.40,2.80,10.40,16.75,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,6.00,5.73,4.20,0.00,0.00,10.06,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.28
14,03:15-03:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,5.59,2.45,42.98,21.73,17.85,2.64,27.18,2.80,10.69,16.73,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,5.99,5.75,4.17,0.00,0.00,9.97,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.32
15,03:30-03:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,5.05,2.45,41.60,20.49,16.67,2.64,22.44,2.80,8.68,16.03,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.99,5.73,4.16,0.00,0.00,9.88,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,191.99
16,03:45-04:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,4.52,2.45,40.22,19.26,16.06,2.64,22.31,2.80,7.56,15.52,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.97,5.73,4.18,0.00,0.00,9.81,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.88
17,04:00-04:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,3.98,2.45,38.83,18.02,14.89,2.64,17.46,2.80,7.60,14.86,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,5.97,5.73,4.20,0.00,0.00,9.08,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.89
18,04:15-04:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,3.90,2.45,37.45,16.78,13.58,2.64,15.92,2.80,7.16,14.24,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.99,5.73,4.19,0.00,0.00,9.09,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.86
19,04:30-04:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,40.74,20.06,16.54,5.24,11.02,2.80,8.14,14.67,5.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,13.17,5.73,4.18,0.00,0.00,9.20,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.28
20,04:45-05:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,40.05,19.28,15.41,5.21,24.87,2.80,7.96,14.61,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,12.55,5.73,4.20,0.00,0.00,9.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.08
21,05:00-05:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,39.36,18.50,13.46,5.18,35.36,2.80,9.24,13.88,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,12.03,5.73,4.18,0.00,0.00,9.50,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.02,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.47
22,05:15-05:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,38.67,17.72,11.85,5.15,36.46,2.80,8.70,13.33,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,11.44,5.73,4.20,0.00,0.00,9.40,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199.98
23,05:30-05:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,37.98,16.94,10.57,5.11,41.03,2.80,7.97,12.95,6.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,10.42,5.73,4.17,0.00,0.00,6.00,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.42
24,05:45-06:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,4.29,2.23,37.29,16.16,9.20,5.08,30.05,2.80,7.38,12.53,7.02,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,9.66,5.73,4.16,0.00,0.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.06,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,181.26
25,06:00-06:15,0.00,0.06,0.22,0.02,0.00,0.00,0.12,0.00,0.00,0.21,0.00,0.06,0.07,0.15,0.00,0.01,0.14,0.00,0.31,0.02,0.01,0.06,0.07,0.00,0.00,0.11,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,2.75,3.90,2.45,31.71,11.45,24.18,5.84,16.34,2.33,9.91,9.34,4.92,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,1.80,9.31,5.73,4.18,0.00,0.00,7.56,9.97,0.00,0.08,0.13,0.00,0.00,0.00,0.15,0.00,5.02,0.00,0.00,2.16,0.06,0.00,0.09,0.01,0.58,0.00,0.00,0.00,174.62
